cell_type,f1,precision,recall,support,fold
"CD16-negative, CD56-bright natural killer cell, human",0.9056603773584906,0.935064935064935,0.8780487804878049,82.0,3
"CD16-positive, CD56-dim natural killer cell, human",0.9578947368421052,0.9479166666666666,0.9680851063829787,376.0,3
T-helper 22 cell,0.6569343065693432,0.6,0.7258064516129032,124.0,3
"central memory CD4-positive, alpha-beta T cell",0.650887573964497,0.6358381502890174,0.6666666666666666,165.0,3
"effector CD8-positive, alpha-beta T cell",0.8414096916299559,0.7795918367346939,0.9138755980861244,209.0,3
"effector memory CD8-positive, alpha-beta T cell",0.7219512195121952,0.7326732673267327,0.7115384615384616,104.0,3
gamma-delta T cell,0.5221674876847291,0.5638297872340425,0.48623853211009177,109.0,3
mature NK T cell,0.8181818181818181,0.96,0.7128712871287128,101.0,3
mucosal invariant T cell,0.6714285714285714,0.7833333333333333,0.5875,80.0,3
naive B cell,1.0,1.0,1.0,90.0,3
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8409371146732428,0.8276699029126213,0.8546365914786967,399.0,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6813186813186813,0.7560975609756098,0.62,150.0,3
CD14-positive monocyte,0.9936708860759493,0.9936708860759493,0.9936708860759493,158.0,4
"CD16-negative, CD56-bright natural killer cell, human",0.8095238095238096,0.9444444444444444,0.7083333333333334,24.0,4
"CD16-positive, CD56-dim natural killer cell, human",0.9582577132486388,0.9198606271777003,1.0,264.0,4
T-helper 22 cell,0.584958217270195,0.6730769230769231,0.5172413793103449,203.0,4
"central memory CD4-positive, alpha-beta T cell",0.5458515283842794,0.44014084507042256,0.7183908045977011,174.0,4
"effector CD8-positive, alpha-beta T cell",0.8607594936708861,0.85,0.8717948717948718,117.0,4
"effector memory CD8-positive, alpha-beta T cell",0.7340823970037453,0.7101449275362319,0.7596899224806202,129.0,4
gamma-delta T cell,0.24778761061946902,0.358974358974359,0.1891891891891892,74.0,4
mature NK T cell,0.8435374149659864,0.9538461538461539,0.7560975609756098,82.0,4
mucosal invariant T cell,0.5535714285714286,0.5961538461538461,0.5166666666666667,60.0,4
naive B cell,1.0,1.0,1.0,60.0,4
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8429487179487181,0.8117283950617284,0.8766666666666667,300.0,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0.5179856115107914,0.6486486486486487,0.4311377245508982,167.0,4
CD14-positive monocyte,0.9960629921259843,0.9960629921259843,0.9960629921259843,254.0,5
"CD16-negative, CD56-bright natural killer cell, human",0.8852459016393444,0.9,0.8709677419354839,31.0,5
"CD16-positive, CD56-dim natural killer cell, human",0.9611650485436893,0.9428571428571428,0.9801980198019802,202.0,5
T-helper 22 cell,0.6153846153846153,0.7521367521367521,0.5207100591715976,169.0,5
"central memory CD4-positive, alpha-beta T cell",0.7738515901060071,0.6636363636363637,0.9279661016949152,236.0,5
"effector CD8-positive, alpha-beta T cell",0.6428571428571429,0.5113636363636364,0.8653846153846154,52.0,5
"effector memory CD8-positive, alpha-beta T cell",0.4900662251655629,0.3978494623655914,0.6379310344827587,58.0,5
gamma-delta T cell,0.23076923076923078,0.5555555555555556,0.14563106796116504,103.0,5
mature NK T cell,0.9090909090909092,0.9649122807017544,0.859375,64.0,5
mucosal invariant T cell,0.6825396825396826,0.6323529411764706,0.7413793103448276,58.0,5
naive B cell,1.0,1.0,1.0,121.0,5
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8362989323843417,0.91796875,0.7679738562091504,306.0,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0.802675585284281,0.7947019867549668,0.8108108108108109,148.0,5
