analysis,repeat,representation,rep_key,train_group,test_group,direction,n_donors_per_group,sampled_group_a_donors,sampled_group_b_donors,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes
donor_count_matched,3,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6978123166005614,0.7717413757488122,4827,4841,13
donor_count_matched,3,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6526217003443195,0.6465713693805677,4841,4827,13
donor_count_matched,4,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.7079730451945992,0.7872384078785392,4827,4874,13
donor_count_matched,4,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.6405651154590737,0.6335197845452663,4874,4827,13
donor_count_matched,4,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.735517273535896,0.8235535494460402,4827,4874,13
donor_count_matched,4,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.6690735400677139,0.6674953387197017,4874,4827,13
donor_count_matched,4,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.7086300296275441,0.7878539187525646,4827,4874,13
donor_count_matched,4,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.6687539142298521,0.6685311787859954,4874,4827,13
donor_count_matched,4,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.6889637106301283,0.772055806319245,4827,4874,13
donor_count_matched,4,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.6511910429823397,0.6455355293142738,4874,4827,13
donor_count_matched,5,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.7112095300075806,0.7847682119205298,4827,4832,13
donor_count_matched,5,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.6507278617976117,0.6503003936192252,4832,4827,13
donor_count_matched,5,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.7410607115221245,0.8205711920529801,4827,4832,13
donor_count_matched,5,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.6931887017789727,0.6960845245494096,4832,4827,13
donor_count_matched,5,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.7152060178025521,0.789114238410596,4827,4832,13
donor_count_matched,5,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.6811123326120853,0.6817899316345556,4832,4827,13
donor_count_matched,5,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.697840135031771,0.7737996688741722,4827,4832,13
donor_count_matched,5,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.6521037118776032,0.6474000414336026,4832,4827,13
donor_count_matched,6,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.7095107582360308,0.7782374844848986,4827,4834,13
donor_count_matched,6,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6901167384657707,0.6904909881914233,4834,4827,13
donor_count_matched,6,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.7431983376797453,0.8183698800165494,4827,4834,13
donor_count_matched,6,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6891528316224024,0.6927698363372695,4834,4827,13
donor_count_matched,6,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.7153004205712666,0.7825817128671907,4827,4834,13
donor_count_matched,6,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6833450249468147,0.6838616117671431,4834,4827,13
donor_count_matched,6,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6965798749600515,0.7678940835746794,4827,4834,13
donor_count_matched,6,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6535503259122678,0.6490573855396726,4834,4827,13
donor_count_matched,7,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.7059427877891958,0.7875776397515528,4827,4830,13
donor_count_matched,7,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6632353470433945,0.6629376424280091,4830,4827,13
donor_count_matched,7,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.7469634890311032,0.8316770186335404,4827,4830,13
donor_count_matched,7,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6880870328368349,0.6925626683240108,4830,4827,13
