representation,rep_key,k_train_donors,repeat,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,batch_covariate
pca,X_pca,10,1,0.9439261376507261,0.9460051647233743,6450,102232,7,None
pca,X_pca,10,2,0.9463572810064859,0.9479670647811025,6785,101897,7,None
pca,X_pca,10,3,0.946592866078431,0.9480887672304233,6392,102290,7,None
pca,X_pca,10,4,0.946422442193413,0.9477198410056588,6540,102142,7,None
pca,X_pca,10,5,0.9457513155837469,0.947279761030312,6577,102105,7,None
pca,X_pca,20,1,0.9496149543292287,0.9509247945191173,12931,95751,7,None
pca,X_pca,20,2,0.94835198477507,0.9496708564012936,13131,95551,7,None
pca,X_pca,20,3,0.9494249429342659,0.95074483421432,12956,95726,7,None
pca,X_pca,20,4,0.9495983678767596,0.9508702242199342,13017,95665,7,None
pca,X_pca,20,5,0.9484310291421494,0.9498170030325211,13052,95630,7,None
pca,X_pca,40,1,0.950380724050672,0.9517539060125235,26437,82245,7,None
pca,X_pca,40,2,0.9502270929399178,0.9515863230752328,26763,81919,7,None
pca,X_pca,40,3,0.9495764501946267,0.9508113467630771,25980,82702,7,None
pca,X_pca,40,4,0.9492977938937005,0.9504463097801108,26004,82678,7,None
pca,X_pca,40,5,0.9491082048765397,0.9506508054402221,26553,82129,7,None
pca,X_pca,80,1,0.948937840073041,0.9507388275948957,53121,55561,7,None
pca,X_pca,80,2,0.9496072381266466,0.9506403747840182,52543,56139,7,None
pca,X_pca,80,3,0.9499007046350173,0.9508701733264876,52199,56483,7,None
pca,X_pca,80,4,0.9483978700441994,0.9497184018643738,52041,56641,7,None
pca,X_pca,80,5,0.9525259874828557,0.9534366112592959,52071,56611,7,None
pca,X_pca,120,1,0.949618828486851,0.9506074487153954,78556,30126,7,None
pca,X_pca,120,2,0.949661845699034,0.9513685888918416,78578,30104,7,None
pca,X_pca,120,3,0.9518866744705254,0.9524694376528118,78007,30675,7,None
pca,X_pca,120,4,0.9510500496842891,0.9518451543768,78820,29862,7,None
pca,X_pca,120,5,0.952678952747997,0.9542398394380331,78787,29895,7,None
harmony,X_harmony,5,1,0.9419742967189926,0.943528809316087,3230,105452,7,None
harmony,X_harmony,5,2,0.9396769440390292,0.94110406211533,3072,105610,7,None
harmony,X_harmony,5,3,0.9397457609903114,0.9414072518975197,3413,105269,7,None
harmony,X_harmony,5,4,0.941502221921621,0.9427394321407213,3339,105343,7,None
harmony,X_harmony,5,5,0.9415993315465182,0.943186992486909,3266,105416,7,None
harmony,X_harmony,10,1,0.9421505374898811,0.9440586117849596,6450,102232,7,None
harmony,X_harmony,10,2,0.9419322857779718,0.9437078618605061,6785,101897,7,None
harmony,X_harmony,10,3,0.9421406222697877,0.943503763808779,6392,102290,7,None
harmony,X_harmony,10,4,0.9426582622779011,0.9440289009418261,6540,102142,7,None
harmony,X_harmony,10,5,0.9417189775901526,0.9433426374810244,6577,102105,7,None
harmony,X_harmony,20,1,0.9458136245135774,0.9472172614385228,12931,95751,7,None
harmony,X_harmony,20,2,0.9451395386427386,0.9466462936023694,13131,95551,7,None
harmony,X_harmony,20,3,0.9451412357163232,0.9465140087332595,12956,95726,7,None
harmony,X_harmony,20,4,0.9450618651914656,0.9465739821251241,13017,95665,7,None
harmony,X_harmony,20,5,0.9432916343542015,0.9447558297605354,13052,95630,7,None
harmony,X_harmony,40,1,0.9465380133005771,0.9479968387135996,26437,82245,7,None
harmony,X_harmony,40,2,0.9458358063834282,0.9474358817856663,26763,81919,7,None
harmony,X_harmony,40,3,0.9457753049700692,0.9470871321128872,25980,82702,7,None
harmony,X_harmony,40,4,0.9450539951660168,0.9462734947628147,26004,82678,7,None
harmony,X_harmony,40,5,0.9446391689443124,0.9464744487330906,26553,82129,7,None
harmony,X_harmony,80,1,0.9452268711004068,0.947103183887979,53121,55561,7,None
harmony,X_harmony,80,2,0.945210208153679,0.9463296460571082,52543,56139,7,None
harmony,X_harmony,80,3,0.9458217049936394,0.9468335605403396,52199,56483,7,None
harmony,X_harmony,80,4,0.945580479785347,0.9469642132024505,52041,56641,7,None
harmony,X_harmony,80,5,0.9478785866991405,0.9488968575011923,52071,56611,7,None
harmony,X_harmony,120,1,0.9438223937621905,0.9452632277766713,78556,30126,7,None
harmony,X_harmony,120,2,0.943804694739715,0.9457879351581185,78578,30104,7,None
harmony,X_harmony,120,3,0.9492286797818872,0.9499918500407498,78007,30675,7,None
harmony,X_harmony,120,4,0.9449034738505178,0.9460183510816422,78820,29862,7,None
harmony,X_harmony,120,5,0.94964669686587,0.9512962033784914,78787,29895,7,None
