representation,rep_key,k_train_donors,repeat,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,batch_covariate
harmony,X_harmony,10,4,0.8190276610528548,0.8332988073747447,6040,67582,18,None
harmony,X_harmony,10,5,0.8329102972740844,0.8432080924855492,7190,66432,18,None
harmony,X_harmony,20,1,0.8288079879074348,0.8384356869367486,13813,59809,18,None
harmony,X_harmony,20,2,0.834228391632314,0.847371176679221,14413,59209,18,None
harmony,X_harmony,20,3,0.8459110490724531,0.8556564417177914,12497,61125,18,None
harmony,X_harmony,20,4,0.8319441383279995,0.8451061902528185,11799,61823,18,None
harmony,X_harmony,20,5,0.8189544497947627,0.8288178606948112,15304,58318,18,None
harmony,X_harmony,40,1,0.8503632595949759,0.8593623114074453,26828,46794,18,None
harmony,X_harmony,40,2,0.8434218306489145,0.8524720706372813,30925,42697,18,None
harmony,X_harmony,40,3,0.8373926946996935,0.8529371491168013,29804,43818,18,None
harmony,X_harmony,40,4,0.8417792117947331,0.8570488876359621,31055,42567,18,None
harmony,X_harmony,40,5,0.8508714185044214,0.8601479632765844,28746,44876,18,None
harmony,X_harmony,80,1,0.8558815049067978,0.8660475279978148,55317,18305,18,None
harmony,X_harmony,80,2,0.845907734061803,0.8574217746493347,54159,19463,18,None
harmony,X_harmony,80,3,0.8421761541636872,0.8553105934553522,59198,14424,18,None
harmony,X_harmony,80,4,0.850158544671118,0.8605348662834291,57618,16004,18,None
harmony,X_harmony,80,5,0.85956962470871,0.8704084253788852,58050,15572,18,None
scvi,X_scVI,5,1,0.9102051878825984,0.9057584836089186,4194,69428,18,None
scvi,X_scVI,5,2,0.8978456949134864,0.8986873390829664,2545,71077,18,None
scvi,X_scVI,5,3,0.9009707403238598,0.8965932380720336,3849,69773,18,None
scvi,X_scVI,5,4,0.9062721129543517,0.9085293863564373,4168,69454,18,None
scvi,X_scVI,5,5,0.9022495800742304,0.9033208881902142,2376,71246,18,None
scvi,X_scVI,10,1,0.902955087219525,0.90206095026201,5304,68318,18,None
scvi,X_scVI,10,2,0.9209256919749775,0.9166729908173332,7737,65885,18,None
scvi,X_scVI,10,3,0.9217760494601749,0.9187168913805619,8873,64749,18,None
scvi,X_scVI,10,4,0.9252251849176178,0.9222869994969075,6040,67582,18,None
scvi,X_scVI,10,5,0.9226506421875289,0.9196471579961464,7190,66432,18,None
scvi,X_scVI,20,1,0.9284716257342516,0.9243926499356284,13813,59809,18,None
scvi,X_scVI,20,2,0.9301810025373095,0.92695367258356,14413,59209,18,None
scvi,X_scVI,20,3,0.9299250200197735,0.9256441717791412,12497,61125,18,None
scvi,X_scVI,20,4,0.9247421483663051,0.9215825825340084,11799,61823,18,None
scvi,X_scVI,20,5,0.9299679532528289,0.9253918172776844,15304,58318,18,None
scvi,X_scVI,40,1,0.934514864976591,0.9308672051972475,26828,46794,18,None
scvi,X_scVI,40,2,0.928093384114844,0.9229922476989015,30925,42697,18,None
scvi,X_scVI,40,3,0.9353010586674875,0.9311241955360811,29804,43818,18,None
scvi,X_scVI,40,4,0.9379988587195685,0.9332346653510936,31055,42567,18,None
scvi,X_scVI,40,5,0.935860187282345,0.9321240752295213,28746,44876,18,None
scvi,X_scVI,80,1,0.937346515073775,0.9352635891832832,55317,18305,18,None
scvi,X_scVI,80,2,0.934257186554528,0.9336176334583569,54159,19463,18,None
scvi,X_scVI,80,3,0.9266544211316885,0.9207570715474209,59198,14424,18,None
scvi,X_scVI,80,4,0.9399722619687653,0.9337665583604099,57618,16004,18,None
scvi,X_scVI,80,5,0.9396298730515661,0.934369380940149,58050,15572,18,None
