representation,rep_key,k_train_donors,repeat,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used
pca,X_pca,20,2,0.5251917620488338,0.8032675289312458,9820,1469,40
pca,X_pca,20,3,0.5098651449391284,0.7066666666666667,9789,1500,40
pca,X_pca,20,4,0.5556559789219235,0.7481431465226198,9808,1481,40
pca,X_pca,20,5,0.5153399712688507,0.8332194121667806,9826,1463,40
harmony,X_harmony,3,1,0.43900567421785214,0.6436888201957753,1455,9705,30
harmony,X_harmony,3,2,0.4887789506551379,0.6825429482563522,1480,9721,30
harmony,X_harmony,3,3,0.46177508776809534,0.6331756478815302,1471,9724,30
harmony,X_harmony,3,4,0.5173206076828799,0.7354453816087225,1477,9722,30
harmony,X_harmony,3,5,0.5189088523310482,0.7035389072847682,1450,9664,27
harmony,X_harmony,5,1,0.47884914641551757,0.7253082927933024,2397,8839,33
harmony,X_harmony,5,2,0.4360124539695528,0.6992308575364482,2427,8711,35
harmony,X_harmony,5,3,0.480483293815043,0.7417256334170281,2465,8762,33
harmony,X_harmony,5,4,0.4822769312846653,0.7183226982680037,2462,8776,33
harmony,X_harmony,5,5,0.47167396474997814,0.7281818181818182,2386,8800,32
harmony,X_harmony,8,1,0.44899451505441423,0.736420423682781,3900,7364,36
harmony,X_harmony,8,2,0.4599210089282076,0.7102096010818121,3867,7395,36
harmony,X_harmony,8,3,0.4810138530333122,0.7462441955749796,3949,7322,37
harmony,X_harmony,8,4,0.4742044995153541,0.7423245614035088,3975,7296,36
harmony,X_harmony,8,5,0.45677696533259454,0.7455216737317106,3960,7313,37
harmony,X_harmony,10,1,0.4775154364256918,0.7612244897959184,4899,6370,37
harmony,X_harmony,10,2,0.4449044381273658,0.7614910756594535,4938,6331,37
harmony,X_harmony,10,3,0.45987205504717493,0.735946283572767,4874,6404,38
harmony,X_harmony,10,4,0.4725575782426342,0.7588281868566904,4950,6315,36
harmony,X_harmony,10,5,0.4531062459882889,0.7464766429136975,4969,6315,39
harmony,X_harmony,15,1,0.47008932585986846,0.7346055979643766,7356,3930,39
harmony,X_harmony,15,2,0.5083942654066892,0.7578973970179429,7329,3957,39
harmony,X_harmony,15,3,0.4807176674003264,0.7798188874514878,7420,3865,39
harmony,X_harmony,15,4,0.48794548359170165,0.7598051781594463,7384,3901,39
harmony,X_harmony,15,5,0.45785567685389905,0.7523447401774398,7344,3945,40
harmony,X_harmony,20,1,0.4774886801744439,0.7212894560107455,9800,1489,40
harmony,X_harmony,20,2,0.5248018990448696,0.7610619469026548,9820,1469,40
harmony,X_harmony,20,3,0.4129353854898908,0.6786666666666666,9789,1500,40
harmony,X_harmony,20,4,0.5281661279250028,0.7231600270087779,9808,1481,40
harmony,X_harmony,20,5,0.48805506303328294,0.7894736842105263,9826,1463,40
scvi,X_scVI,3,1,0.49972185636596145,0.650386398763524,1455,9705,30
scvi,X_scVI,3,2,0.5388924601009506,0.6954017076432466,1480,9721,30
scvi,X_scVI,3,3,0.4451744375755134,0.6013986013986014,1471,9724,30
scvi,X_scVI,3,4,0.5691962224971417,0.7222793663855174,1477,9722,30
scvi,X_scVI,3,5,0.5554003919470895,0.7165769867549668,1450,9664,27
scvi,X_scVI,5,1,0.5207738129215088,0.7349247652449372,2397,8839,33
scvi,X_scVI,5,2,0.46590098256873863,0.6663988061072208,2427,8711,35
scvi,X_scVI,5,3,0.5002468035719504,0.7316822643232139,2465,8762,33
scvi,X_scVI,5,4,0.5376646986392187,0.7354147675478578,2462,8776,33
scvi,X_scVI,5,5,0.5072415661590197,0.7471590909090909,2386,8800,32
scvi,X_scVI,8,1,0.503143817947638,0.7517653449212385,3900,7364,36
scvi,X_scVI,8,2,0.5092170904556054,0.6962812711291413,3867,7395,36
scvi,X_scVI,8,3,0.505524162847372,0.7488391149959027,3949,7322,37
scvi,X_scVI,8,4,0.5105690556743929,0.7483552631578947,3975,7296,36
scvi,X_scVI,8,5,0.5094606934904264,0.76466566388623,3960,7313,37
scvi,X_scVI,10,1,0.4969987346302981,0.7532182103610675,4899,6370,37
scvi,X_scVI,10,2,0.4951373546845149,0.7622808403095878,4938,6331,37
scvi,X_scVI,10,3,0.4727417863994566,0.7331355402873204,4874,6404,38
scvi,X_scVI,10,4,0.5208418267832466,0.7600950118764845,4950,6315,36
scvi,X_scVI,10,5,0.5037432377661798,0.7502771179730799,4969,6315,39
scvi,X_scVI,15,1,0.4920502316083267,0.7422391857506361,7356,3930,39
scvi,X_scVI,15,2,0.5437683720081427,0.7376800606520091,7329,3957,39
scvi,X_scVI,15,3,0.5026003208343012,0.7831824062095731,7420,3865,39
scvi,X_scVI,15,4,0.48924005483037025,0.7549346321456037,7384,3901,39
scvi,X_scVI,15,5,0.4885400234531035,0.767807351077313,7344,3945,40
scvi,X_scVI,20,1,0.5543311436738878,0.7434519811954332,9800,1489,40
scvi,X_scVI,20,2,0.591193539011434,0.7372362151123213,9820,1469,40
scvi,X_scVI,20,3,0.49707220519824913,0.69,9789,1500,40
scvi,X_scVI,20,4,0.5449451250769997,0.7434166103983795,9808,1481,40
scvi,X_scVI,20,5,0.5227224597819506,0.8127136021872864,9826,1463,40
