donor_id,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0006,1,1,0,83,7,0,19,3,72,0,37,0,3,10,11,4,0,0,100,0,22,0,18,2,0,31,0,0,0,0,3
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0007,5,32,17,100,3,2,8,4,100,1,74,0,6,34,38,20,2,0,100,0,46,4,100,5,1,9,0,0,0,0,18
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0008,7,8,21,59,18,0,100,100,100,2,100,0,35,15,53,18,3,0,100,0,100,21,100,4,4,7,0,0,0,2,20
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0009,6,2,0,41,1,1,0,1,100,0,38,0,1,19,8,7,2,0,100,0,34,0,79,2,1,7,0,0,0,0,40
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0010,1,8,5,75,0,0,0,1,100,2,82,2,4,7,7,0,1,0,100,0,33,0,61,0,0,1,0,0,0,0,28
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0012,1,0,1,100,0,0,2,0,47,1,4,0,1,4,35,0,11,0,100,0,68,0,50,0,0,1,0,0,0,0,9
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0014,3,78,15,100,1,3,1,0,100,7,55,3,2,11,23,4,3,0,100,0,73,0,19,5,0,1,1,0,0,0,97
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0015,7,6,2,75,0,1,1,0,52,3,38,2,0,0,1,0,2,1,100,0,55,2,33,1,0,2,0,0,0,6,18
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0017,0,18,13,54,0,0,0,0,100,0,31,0,0,1,10,1,0,0,100,0,25,0,70,0,0,1,0,0,0,0,13
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0019,4,1,0,55,0,2,4,18,100,0,56,1,1,0,3,5,0,0,100,0,15,42,100,0,0,1,0,0,0,0,12
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0020,1,0,2,52,0,0,1,0,20,0,10,0,0,8,4,2,0,0,100,0,19,0,7,0,0,0,0,0,0,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD071,0,1,0,100,1,0,19,100,100,10,52,12,0,11,15,0,20,0,100,0,85,18,100,0,2,10,0,0,0,4,60
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD072,92,2,3,0,12,0,18,26,98,0,4,1,27,35,5,1,0,0,38,0,3,88,70,0,0,0,0,0,0,0,11
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD073,0,1,2,0,3,0,45,18,18,0,4,0,8,31,11,4,0,1,37,0,3,59,2,0,1,1,0,0,0,0,4
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD076,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,11,0,1,0,2,0,0,0,0,0,0,0,2
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD077,1,0,0,8,0,0,16,2,44,0,22,0,2,26,2,0,0,0,100,1,0,24,25,0,0,0,0,0,0,1,3
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD078,5,1,0,15,0,0,22,34,10,2,1,0,1,16,3,4,1,0,100,0,4,38,10,0,0,0,0,0,0,0,7
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD080,1,0,0,4,3,0,56,100,13,0,6,0,0,8,3,0,0,0,95,0,0,49,20,0,0,0,0,0,0,0,4
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD101,2,7,20,12,33,1,100,100,100,30,39,4,17,100,52,10,13,0,43,1,34,100,100,5,15,10,0,0,0,14,89
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD103,80,100,81,100,1,14,4,44,100,90,61,23,1,100,100,66,27,0,100,7,100,48,100,14,2,2,0,1,0,22,100
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD104,8,100,100,100,5,4,56,100,93,16,32,8,100,100,100,24,8,0,100,4,100,100,100,17,17,3,0,0,0,20,100
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD105,0,5,1,15,0,0,0,1,2,0,1,1,0,2,2,0,3,0,13,0,29,0,0,0,0,0,0,0,0,0,6
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD106,21,100,9,100,0,4,1,47,88,100,100,46,0,11,100,11,6,0,41,6,100,3,61,2,1,78,0,0,0,8,100
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD107,17,47,6,5,43,0,100,85,26,3,49,2,1,1,0,0,3,0,92,0,1,100,16,5,1,6,0,0,0,3,16
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD66,4,75,61,43,58,0,100,100,26,18,39,14,21,24,23,7,5,0,100,0,100,100,35,38,6,4,0,0,0,10,100
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67,13,37,100,100,100,32,100,100,100,55,100,36,59,100,64,37,8,0,100,3,100,100,100,3,43,100,0,0,0,14,100
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD68,0,8,60,100,27,0,25,100,100,15,91,0,100,100,100,9,1,0,100,1,38,90,37,2,100,1,0,0,0,1,29
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD69,0,1,8,1,40,1,100,100,34,0,14,1,97,79,4,0,0,0,5,0,18,31,78,0,4,0,0,0,0,0,8
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD70,0,5,0,100,5,0,2,6,21,4,7,3,51,100,100,4,1,0,100,0,100,86,5,1,4,0,0,0,0,6,56
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD84,100,100,15,100,25,5,100,100,100,100,87,24,16,97,100,81,6,0,100,4,100,44,100,9,0,4,0,0,0,15,100
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD85,0,4,4,0,3,1,49,24,94,0,12,0,100,100,39,0,5,0,100,0,1,49,12,0,22,1,1,0,0,0,9
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD92,0,8,7,1,83,2,100,100,38,0,57,1,64,10,10,20,6,0,36,0,100,100,100,1,75,10,0,0,0,11,100
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD94,0,100,42,26,42,4,100,100,100,10,100,0,100,100,100,28,3,0,100,1,100,100,100,22,55,5,0,0,0,19,100
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD95,1,50,77,51,71,7,100,100,100,8,43,0,100,100,100,25,3,0,100,0,100,100,78,7,100,4,0,0,0,12,100
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD98,2,5,5,100,14,2,100,100,58,13,31,3,78,100,100,3,7,0,43,1,100,100,26,0,3,1,0,0,0,6,77
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_1,0,2,1,100,27,0,69,100,58,0,2,0,0,2,3,1,0,0,13,0,1,65,11,0,0,4,0,0,0,0,5
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_2,13,4,7,100,28,2,100,100,100,2,27,0,3,15,26,10,2,0,100,0,44,100,43,0,1,2,0,0,0,8,22
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_3,7,31,13,100,10,0,100,100,65,1,30,0,0,9,17,7,3,0,100,1,84,59,10,0,0,1,0,0,0,3,22
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_4,3,12,62,100,12,1,100,100,100,4,26,1,51,100,72,3,4,0,100,0,46,100,100,1,9,10,0,0,0,3,18
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_5,0,35,27,100,39,1,100,100,100,2,63,1,21,61,52,23,3,0,100,0,63,100,68,1,1,6,0,0,0,0,23
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_6,2,100,100,100,90,12,100,100,100,100,100,0,43,100,100,100,9,0,100,2,100,100,100,4,5,35,0,0,0,1,81
