representation,rep_key,k_train_donors,repeat,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used
scvi,X_scVI,3,5,0.7193017116045868,0.7543859649122807,1272,8835,13
scvi,X_scVI,5,1,0.7239803634061754,0.7742016912785561,2184,7923,13
scvi,X_scVI,5,2,0.6591048109333608,0.6865353243819802,2138,7969,13
scvi,X_scVI,5,3,0.7064482460201668,0.7590650663297537,2192,7915,13
scvi,X_scVI,5,4,0.7285073350596855,0.768446235205238,2165,7942,13
scvi,X_scVI,5,5,0.7493213457479933,0.7883723844129809,2126,7981,13
scvi,X_scVI,8,1,0.7396876892944384,0.7909992372234935,3552,6555,13
scvi,X_scVI,8,2,0.7133110298555241,0.7253123140987507,3383,6724,13
scvi,X_scVI,8,3,0.7405021975006021,0.7844175491679274,3497,6610,13
scvi,X_scVI,8,4,0.7421533739662525,0.7769860521528199,3511,6596,13
scvi,X_scVI,8,5,0.7621232127019422,0.8051368809597047,3605,6502,13
scvi,X_scVI,10,1,0.7392346043829223,0.7803289924605894,4271,5836,13
scvi,X_scVI,10,2,0.7267580472052697,0.7965054712319096,4441,5666,13
scvi,X_scVI,10,3,0.73469855046355,0.7765037925560063,4438,5669,13
scvi,X_scVI,10,4,0.7419579411963907,0.7949487813493465,4445,5662,13
scvi,X_scVI,10,5,0.736670281795599,0.7813487881981033,4413,5694,13
scvi,X_scVI,15,1,0.7307174597076952,0.778697886921759,6605,3502,13
scvi,X_scVI,15,2,0.7414217823113192,0.7727398396461156,6490,3617,13
scvi,X_scVI,15,3,0.7621316513892311,0.8151116199198626,6613,3494,13
scvi,X_scVI,15,4,0.7529354769015142,0.7860977677309975,6568,3539,13
scvi,X_scVI,15,5,0.7809836967452284,0.814388489208633,6632,3475,13
scvi,X_scVI,20,1,0.7519999124742933,0.7710037174721189,8762,1345,13
scvi,X_scVI,20,2,0.7120779726199407,0.7525697503671072,8745,1362,13
scvi,X_scVI,20,3,0.7073856351180845,0.7271341463414634,8795,1312,13
scvi,X_scVI,20,4,0.7158294115523876,0.7786144578313253,8779,1328,13
scvi,X_scVI,20,5,0.7553323969899028,0.8491147036181679,8808,1299,13
